path,size_bytes,updated_at
"/Users/alexis/.openclaw/shared/discussions/2026-03-01.md",5698,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/outputs/anna/gtm-forgeia.md",6687,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/outputs/anna/landing-forgeia.md",6291,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/outputs/anna/pitch-forgeia.md",7775,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/outputs/franck/bp-forgeia-3ans.md",8556,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/outputs/jimmy/deploy-forgeia.md",6075,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/outputs/john/brief-beta.md",3877,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/outputs/john/inpi-forgeia.md",3379,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/shared/tasks/board.md",1599,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/.claude/agents/README.md",960,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.claude/agents/anna.md",1765,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.claude/agents/bidi.md",1701,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.claude/agents/franck.md",1662,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.claude/agents/jimmy.md",1743,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.claude/agents/john.md",1739,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.clawhub/lock.json",1644,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/.learnings/ERRORS.md",1374,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.learnings/FEATURE_REQUESTS.md",406,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.learnings/LEARNINGS.md",1144,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/.openclaw/workspace-state.json",125,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/AGENTS-proactive.md",3860,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/AGENTS.md",2725,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/HEARTBEAT-proactive.md",2939,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/HEARTBEAT.md",516,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/IDENTITY.md",308,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/MEMORY.md",7992,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/MORNING_BRIEF.md",2767,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/ONBOARDING.md",2423,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/SOUL.md",2693,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/TOOLS.md",1058,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/USER.md",2180,"2026-03-02T16:01:48"
"/Users/alexis/.openclaw/workspace/archive/HEARTBEAT-v1.md",4080,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/backups/AGENTS.md.backup",2725,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/backups/HEARTBEAT.md.backup",516,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/bookmarks-exports/bookmarks_notion_titles.txt",27719,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/bookmarks-exports/bookmarks_x.json",127139,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/bookmarks-exports/bookmarks_x.md",69038,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/bookmarks-exports/bookmarks_x_grouped.json",135325,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/bookmarks-exports/bookmarks_x_notion.csv",92966,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/bookmarks-exports/bookmarks_x_notion_table.csv",92954,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/bookmarks-exports/bookmarks_x_readable.md",54390,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/ev-research/ev_offres_france_2026.md",2736,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/ev-research/ev_offres_france_2026_comparatif.csv",5803,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/ev-research/ev_table_notion.md",3259,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-files/6760068f-2d63-4307-aa4f-3ee756f3cabb.json",2401,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-files/6760068f-2d63-4307-aa4f-3ee756f3cabb.srt",501,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-files/6760068f-2d63-4307-aa4f-3ee756f3cabb.tsv",403,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-files/6760068f-2d63-4307-aa4f-3ee756f3cabb.txt",336,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-files/6760068f-2d63-4307-aa4f-3ee756f3cabb.vtt",469,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-files/fd65cac2-ff05-430b-bc76-c77c9e343db0.txt",401,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-files/whatsapp-qr.png",9177,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-projects/fastpay-landing/index.html",29326,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-projects/index.html",312433,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-projects/llm-monitoring.html",8339,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-projects/migration-secrets-plan.md",4430,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-projects/monitor-usage.py",2458,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-projects/pizza-landing/index.html",16662,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/old-projects/security-audit-20260216.md",3780,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/ESTIMATION_FINALE.png",123202,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/TRA-EQ-117.pdf",129841,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/abz0.png",123202,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/abz1.png",89570,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/abz2_bonnevoiture.png",20656,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/abz3_version.png",77090,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/abz4_km.png",35045,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/after_km.png",35351,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/after_version.png",35045,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/aramisauto.png",128749,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/aramisauto2.png",109878,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autobiz.png",95874,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autobiz_after_oui.png",77965,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autobiz_km.png",74948,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autobiz_result.png",51561,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autobiz_step2.png",51561,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autobiz_step3.png",51561,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autobiz_version.png",35045,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/autoeasy.png",107956,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/carte_grise_fiat.png",190386,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final0.png",52646,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final1.png",50407,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final10.png",194755,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final11.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final12.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final13.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final14.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final15.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final16.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final17.png",460157,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final18.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final19.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final2.png",90366,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final20.png",194763,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final3.png",99788,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final4.png",90587,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final5.png",94740,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final6.png",96436,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final7.png",87807,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final8.png",31876,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/final9.png",144270,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r1.png",52051,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r10.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r11.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r12.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r13.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r14.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r15.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r16.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r17.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r18.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r19.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r2.png",82295,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r20.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r21.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r3.png",34924,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r4.png",34924,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r5.png",34924,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r6.png",52646,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r7.png",50407,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r8.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/r9.png",51669,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/recherche-xc90-parking.md",2625,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s1.png",52051,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s10.png",97576,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s11.png",92909,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s12.png",94384,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s13.png",94026,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s14.png",95938,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s15.png",97048,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s16.png",92993,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s17.png",95420,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s18.png",97535,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s19.png",96392,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s2.png",96406,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s20.png",92950,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s21.png",91767,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s22.png",95603,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s23.png",94899,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s24.png",95025,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s25.png",97100,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s26.png",94585,"2026-03-02T16:01:34"
"/Users/alexis/.openclaw/workspace/archive/voitures-2026/s27.png",94880,"2026-03-02T16:01:34"
